Date,Open,High,Low,Close,Adj Close,Volume
2010-03-30,339.375000,339.375000,328.825012,330.513000,133.982407,10649936
2010-03-31,331.737000,334.587006,325.825012,326.993988,132.555862,13070104
2010-04-01,327.524994,334.750000,327.500000,333.806000,135.317322,8187000
2010-04-05,334.875000,336.250000,329.750000,334.743988,135.697556,7318616
2010-04-06,335.250000,335.625000,330.656006,331.406006,134.344406,5348808
2010-04-07,331.944000,334.350006,327.174988,330.468994,133.964554,8380880
2010-04-08,330.000000,334.737000,328.750000,332.968994,134.978012,7227984
2010-04-09,333.750000,337.212006,333.125000,334.524994,135.608749,8260312
2010-04-12,335.737000,337.250000,331.506012,335.388000,135.958618,8325648
2010-04-13,336.250000,349.230988,329.375000,347.737000,140.964600,57635400
2010-04-15,348.500000,353.087006,344.912994,350.200012,141.963074,22395128
2010-04-16,349.013000,351.125000,346.381012,348.575012,141.304321,6244344
2010-04-19,346.830994,346.830994,342.000000,343.987000,139.444458,8754896
2010-04-20,345.687988,348.743988,340.000000,340.912994,138.198303,9542128
2010-04-21,342.875000,343.718994,337.537994,339.056000,137.445541,6496288
2010-04-22,338.500000,345.355988,336.625000,339.799988,137.747131,6978144
2010-04-23,341.875000,344.212006,339.605988,340.868988,138.180481,5888336
2010-04-26,341.263000,344.250000,340.631012,342.368988,138.788513,4454288
2010-04-27,341.138000,342.799988,340.799988,342.181000,138.712372,3280256
2010-04-28,338.763000,341.493988,336.388000,337.437988,136.789627,5544496
2010-04-29,337.375000,341.612000,334.375000,338.644012,137.278534,11319960
2010-04-30,339.000000,344.850006,334.638000,342.269012,138.748032,8067024
2010-05-03,338.500000,339.368988,335.250000,336.862000,136.556152,5408952
2010-05-04,338.125000,338.250000,331.937988,333.269012,135.099640,6576208
2010-05-05,331.174988,338.500000,326.250000,336.625000,136.460068,12122080
2010-05-06,336.287994,336.287994,330.694000,332.269012,134.694244,7808360
2010-05-07,329.763000,330.669006,325.881012,327.105988,132.601257,8984392
2010-05-10,327.500000,335.475006,327.500000,334.462006,135.583237,5635408
2010-05-11,333.725006,334.312012,329.500000,332.593994,134.825989,5802824
2010-05-12,332.000000,337.362000,331.531006,335.212006,135.887299,9185176
2010-05-13,335.500000,340.375000,332.656006,338.269012,137.126495,4923880
2010-05-14,338.750000,340.875000,328.750000,331.487000,134.377228,6824496
2010-05-17,329.375000,331.006012,322.006012,327.044006,132.576126,8170824
2010-05-18,332.500000,332.500000,322.756012,328.649994,133.227188,7144600
2010-05-19,328.250000,331.544006,324.181000,325.355988,131.891891,11939240
2010-05-20,326.500000,329.319000,323.312012,325.093994,131.785675,6508872
2010-05-21,321.000000,326.000000,319.794006,322.718994,130.822906,7127200
2010-05-24,326.375000,328.750000,322.406006,325.049988,131.767822,7186104
2010-05-25,323.355988,323.355988,313.763000,316.674988,128.372818,8838128
2010-05-26,320.631012,329.987000,319.531006,327.631012,139.417938,7868856
2010-05-27,328.475006,333.000000,324.388000,330.419006,140.604340,11312696
2010-05-28,333.756012,335.549988,329.662994,334.681000,142.417953,6793992
2010-05-31,341.875000,341.875000,328.069000,332.250000,141.383484,7020752
2010-06-01,331.875000,332.187988,327.200012,328.044006,139.593689,5782888
2010-06-02,329.375000,331.493988,328.013000,330.031006,140.439194,6557144
2010-06-03,332.500000,338.225006,332.500000,337.250000,143.511154,5517096
2010-06-04,337.250000,342.250000,335.306000,341.118988,145.157516,4950400
2010-06-07,338.750000,338.750000,331.250000,333.955994,142.109421,7781952
2010-06-08,333.955994,336.125000,330.980988,331.812012,141.197083,6651144
2010-06-09,333.500000,333.500000,327.062012,328.118988,139.625580,5427120
